name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,desc,index
"Ambrane 18W BoostedSpeed™ Charger with USB Port & Quick Charge, Made in India, Multi-Layer Protection, iPhone & Android Co...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51VjtnhZPWL._AC_UL320_.jpg,https://www.amazon.in/Ambrane-BoostedSpeedTM-Compatibility-RAAP-M10/dp/B09NJKMYVC/ref=sr_1_9582?qid=1679134236&s=electronics&sr=1-9582,3.8,4,₹499,₹599,"tv, audio & cameras electronics ambrane 18w boostedspeed™ charger usb port & quick charge, india, multi-layer protection, iphone & android co...",0
"Gizga Essentials Laptop Bag Sleeve Case Cover Pouch for 15.6 Inch Laptop for Men & Women, Padded Laptop Compartment, Free ...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/91Q3TAhPoYL._AC_UL320_.jpg,https://www.amazon.in/Essentials-Laptop-Sleeve-15-Inch-15-6-Inch/dp/B08YDPJV4N/ref=sr_1_1548?qid=1679133748&s=electronics&sr=1-1548,4.3,"8,662",₹349,₹999,"tv, audio & cameras electronics gizga essentials laptop bag sleeve case cover pouch 15.6 inch laptop men & women, padded laptop compartment, free ...",1
"Mivi DuoPods A350 Earbuds- 50hrs Playtime * *New Launch** True Wireless Earbuds with Rich Bass,13mm Dynamic Drivers, Fast ...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61gD6v4nC5L._AC_UL320_.jpg,https://www.amazon.in/Mivi-Earbuds-Playtime-Wireless-Assistant/dp/B0B2PJDPX7/ref=sr_1_5995?qid=1679134026&s=electronics&sr=1-5995,3.4,"6,704","₹1,299","₹2,999","tv, audio & cameras electronics mivi duopods a350 earbuds- 50hrs playtime * *new launch** true wireless earbuds rich bass,13mm dynamic drivers, fast ...",2
"ESR HaloLock Vegan Leather Wallet Stand, MagSafe Wallet and Adjustable Stand, Compatible with iPhone 14/14 Plus/14 Pro/14 ...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/81r-S31BH4L._AC_UL320_.jpg,https://www.amazon.in/ESR-HaloLock-Leather-Adjustable-Compatible/dp/B09K75L2L1/ref=sr_1_8077?qid=1679134149&s=electronics&sr=1-8077,4.4,"3,967","₹2,184","₹3,099","tv, audio & cameras electronics esr halolock vegan leather wallet stand, magsafe wallet adjustable stand, compatible iphone 14/14 plus/14 pro/14 ...",3
"OPPO A74 5G (Fluid Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71poFSdDs5S._AC_UL320_.jpg,https://www.amazon.in/OPPO-Fluid-Black-128GB-Storage/dp/B08VB2CMR3/ref=sr_1_310?qid=1679133667&s=electronics&sr=1-310,4.2,"34,496","₹15,490","₹20,990","tv, audio & cameras electronics oppo a74 5g (fluid black, 6gb ram, 128gb storage) cost emi/additional exchange offers",4
"Orico 2.5""(6.3cm) USB 3.0 HDD Enclosure Case Cover for SATA SSD HDD | SATA SSD HDD Enclosure High Speed USB 3.0 | Tool Fre...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61jNi6Yv3QL._AC_UL320_.jpg,https://www.amazon.in/ORICO-2577U3-BK-Enclosure-Capacity-Business/dp/B07222HQKP/ref=sr_1_1525?qid=1679133746&s=electronics&sr=1-1525,4.3,"14,190",₹658,₹860,"tv, audio & cameras electronics orico 2.5""(6.3cm) usb 3.0 hdd enclosure case cover sata ssd hdd | sata ssd hdd enclosure high speed usb 3.0 | tool fre...",5
"Clapbox Adjustable Snare Cajon CB50- Oak Wood, (H:50 W:30 L:30) - 3 Internal Snares, black","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61gccqQDLRL._AC_UL320_.jpg,https://www.amazon.in/Clapbox-Adjustable-Snare-Cajon-CB50/dp/B07SQC9JMG/ref=sr_1_2808?qid=1679133829&s=electronics&sr=1-2808,4.4,"2,449","₹4,247","₹14,500","tv, audio & cameras electronics clapbox adjustable snare cajon cb50- oak wood, (h:50 w:30 l:30) - 3 internal snares, black",6
"ZEBRONICS K24 USB Keyboard with Long Life 8 Million Keystrokes, Silent & Comfortable Use, Slim Design, Retractable Stand, ...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61jJuQHSvYL._AC_UL320_.jpg,https://www.amazon.in/Zebronics-Keyboard-keystrokes-Comfortable-Retractable/dp/B0B29G5SSW/ref=sr_1_787?qid=1679133697&s=electronics&sr=1-787,3.6,237,₹349,₹799,"tv, audio & cameras electronics zebronics k24 usb keyboard long life 8 million keystrokes, silent & comfortable use, slim design, retractable stand, ...",7
"Portronics Mport 7 Multiport 7-in-1 USB Hub with Convertible Heads, Compatible for Laptop, MacBook & Type-C Devices with T...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61IQwTHKYqL._AC_UL320_.jpg,https://www.amazon.in/Portronics-Multiport-Convertible-Compatible-Transfer/dp/B0BT7S5Y1C/ref=sr_1_5047?qid=1679133967&s=electronics&sr=1-5047,4.7,7,₹749,"₹1,299","tv, audio & cameras electronics portronics mport 7 multiport 7-in-1 usb hub convertible heads, compatible laptop, macbook & type-c devices t...",8
Priefy 20W PD Charger for iPhone 14 | iPhone 14 Pro Type C Power Charger Adapter with USB C to Light-ning Cable Compatible...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51xDXfkvZAL._AC_UL320_.jpg,https://www.amazon.in/Priefy-20W-Charger-Light-ning-Compatible/dp/B0BSD3D3SP/ref=sr_1_4843?qid=1679133955&s=electronics&sr=1-4843,4.2,182,"₹1,199","₹1,899","tv, audio & cameras electronics priefy 20w pd charger iphone 14 | iphone 14 pro type c power charger adapter usb c light-ning cable compatible...",9
